Pharmacy,Populations,Percent
WAL-MART SUPERCENTER - 5085,[['37071032302']],[0.2255278310940499]
WALGREENS - 10132,[['37139960300']],[0.24727272727272728]
BI-LO - 11,"[['37113970304', '37113970600', '37113970304']]",[0.22751127888776357]
HARRIS TEETER - 343,"[['37179021018', '37179021018']]",[0.04015426497277677]
WAL-MART SUPERCENTER - 2440,"[['37099950400', '37099950400']]",[0.1702127659574468]
ETOWAH PHARMACY,"[['37089930703', '37089931901', '37089931902', '37089930703']]",[0.16182155149589622]
ALMAND'S DRUG,"[['37065020200', '37065021400', '37065020300']]",[0.15306838927116978]
CHERRY HOSPITAL,"[['37191000901', '37191001102']]",[0.14989426545590248]
QUALITY HOME HEALTHCARE,"[['37105030101', '37105030101']]",[0.16527510169128667]
WATERS DRUG COMPANY,"[['37155960503', '37155960601', '37155960602', '37155960503']]",[0.1532807264079559]
RITE AID - 11495,"[['37119005525', '37119006305', '37119005525']]",[0.051985739159273694]
CVS - 7030,"[['37067003909', '37067003909']]",[0.10615989515072084]
HARRIS TEETER - 202,[['37025042402']],[0.10657306955966815]
MOOSE PHARMACY,"[['37025042401', '37025042401']]",[0.11575714623198677]
HARRIS TEETER - 68,"[['37025042501', '37025042503', '37025042503']]",[0.0818282584599335]
WALGREENS - 10541,"[['37183053506', '37183053519', '37183053519']]",[0.11943069306930693]
HAMPSTEAD FAMILY PHARMACY,"[['37141920106', '37141920203', '37141990100', '37141920202']]",[0.10979652863550673]
SAM'S CLUB - 4831,"[['37063002015', '37063002030', '37063002031']]",[0.06717189114708921]
WALGREENS - 10087,[['37183052704']],[0.07067324638702856]
MOUNTAINMED,"[['37111970200', '37111970400']]",[0.19926847110460863]
RITE AID - 11536,"[['37133002100', '37133002201', '37133002201']]",[0.15450849079167664]
CW WILLIAMS COMMUNITY HEALTH CENTER PHARMACY,"[['37119003902', '37119003902']]",[0.13167041504804744]
CAROLINAS MEDICAL CENTER - AIRPORT CENTER PHARMACY,"[['37119004000', '37119004000']]",[0.14883093525179855]
WAL-MART - 4250,"[['37063002037', '37183053608', '37063002037']]",[0.04516094875052944]
CVS - 7580,"[['37101040600', '37101040700', '37101040700']]",[0.1946118092614908]
WALGREENS - 6926,"[['37195000402', '37195001700', '37195000402']]",[0.14115679716702734]
CAROLINA COMPOUNDING PHARMACY AND HEALTH CENTER,"[['37183053422', '37183053424', '37183053425']]",[0.07289139085703193]
CRITICAL CARE SYSTEMS,"[['37081016405', '37081016405']]",[0.1153054221002059]
RITE AID - 11529,"[['37047931000', '37047930900']]",[0.15816936623546038]
WEBSTER'S PHARMACY,"[['37155961602', '37155961700', '37155961802', '37155961700']]",[0.20499239308052064]
SAM'S CLUB - 8218,"[['37051002200', '37051002301', '37051002302', '37051002401', '37051002200']]",[0.18204592901878913]
UNITED STATES DEPARTMENT OF VETERANS AFFAIRS - WINSTON-SALEM SATELLITE OUTPATIENT CLINIC,[['37067003805']],[0.13403012603750383]
LAKE BRANDT PHARMACY,"[['37081015601', '37081015601']]",[0.09697320223636013]
HEALTHRIDGE PHARMACY,"[['37021003103', '37021003107']]",[0.14263541828340834]
COLLEGE PARK PHARMACY,"[['37071031203', '37071032302']]",[0.17637507611122386]
CVS - 4379,[['37027030100']],[0.1697559185171591]
RITE AID - 11534,[['37049961301']],[0.07780179067613462]
WALGREENS - 7766,"[['37119003015', '37119005811', '37119005865']]",[0.07278985811434809]
WALGREENS - 7919,[['37129011611']],[0.07713600295257428]
CVS - 7053,"[['37001021205', '37001021205']]",[0.09899961023775497]
WAL-MART SUPERCENTER - 2793,"[['37067003004', '37067003307']]",[0.12345034581756492]
EAST BURKE PHARMACY,"[['37023021000', '37023021202', '37023021100']]",[0.20005100089251562]
HARRIS TEETER - 224,[['37063002023']],[0.07596253902185224]
CVS - 2313,"[['37183054004', '37183054017', '37183054018', '37183054004']]",[0.12473275914727261]
RITE AID - 11365,[['37135011902']],[0.06328059950041633]
WALLACE DRUG COMPANY,"[['37141920300', '37061090705']]",[0.17772778402699663]
HARRIS TEETER - 46,"[['37025041506', '37119005619', '37119005621', '37119005615']]",[0.06615021152683918]
CVS - 3880,"[['37081010200', '37081010200']]",[0.08554867079752149]
FOOD LION - 1689,"[['37037020201', '37037020402']]",[0.1064262128524257]
WALGREENS - 7096,"[['37125951002', '37125951102', '37125951102']]",[0.11577510451326678]
CVS - 187,"[['37119005918', '37119005931', '37119005918']]",[0.07199429183018195]
FAMILY CARE PHARMACY,"[['37143920202', '37143920201']]",[0.16572129388318257]
CVS - 7523,"[['37081012805', '37081017102', '37081012805']]",[0.16023189835944246]
BELMONT DRUG HEALTH MART PHARMACY,"[['37071032404', '37071032405', '37119005919', '37071032302']]",[0.1565357719203873]
MIDDLESEX PHARMACY,"[['37101040204', '37127011501', '37127011502', '37127011501']]",[0.1342064315352697]
OVERMAN AND STEVENSON PHARMACISTS,"[['37139960100', '37139960100']]",[0.2272079772079772]
CVS - 3856,"[['37025040600', '37025042300', '37025042300']]",[0.16350397175639894]
A PLUS PHARMACY,[['37119002300']],[0.11274663326025681]
RITE AID - 11405,[['37063001711']],[0.1202990484821024]
WAL-MART SUPERCENTER - 3825,"[['37049961101', '37049961102', '37049961201', '37049961201']]",[0.10822348711803476]
CLARKTON DRUG INCORPORATED,"[['37017950501', '37017950502', '37017950601', '37017950601']]",[0.12934245863293772]
HARRIS TEETER - 330,"[['37183053003', '37183053505', '37183053516', '37183053003']]",[0.06926945025142664]
CVS - 7555,"[['37183054111', '37183054120', '37183054218', '37183054218']]",[0.07314461309246671]
WAL-MART - 3889,"[['37183053417', '37183053431', '37183053432', '37183053436']]",[0.08041521582024834]
WALGREENS - 10085,"[['37183052812', '37183052903', '37183052812']]",[0.0905761500669942]
CVS - 4299,[['37119005834']],[0.10886917960088692]
WALGREENS - 1253,[['37067003202']],[0.14847161572052403]
CVS - 7026,"[['37067004005', '37067004014']]",[0.11340844372910734]
HEALTH CARE CONNECTIONS,"[['37093970104', '37093970107', '37093970109', '37093970402', '37093970300']]",[0.20195249235198848]
WAL-MART SUPERCENTER - 3864,"[['37133000305', '37133001101', '37133001102', '37133001102']]",[0.21818950419711336]
MCNEILLS PHARMACY / LIBERTY MEDICAL SPECIALTIES,"[['37047930400', '37047930900']]",[0.17963059313215402]
RITE AID - 11497,[['37119005866']],[0.04112239961296565]
PHARMACY PLUS,"[['37049960501', '37049960502', '37049960600']]",[0.12147566278580446]
MOUNT AIRY DRUG HEALTH MART PHARMACY,"[['37171930501', '37171930502', '37171930700', '37171930400']]",[0.1941171819403811]
HARRIS TEETER - 172,"[['37063002008', '37063002031']]",[0.05351976856316297]
CVS - 7048,"[['37019020510', '37019020518', '37019020510']]",[0.21264579496623695]
RITE AID - 11548,"[['37027030600', '37027031201', '37027031202', '37027030600']]",[0.2022029897718332]
RITE AID - 11484,[['37119006103']],[0.11705685618729098]
RITE AID - 11358,"[['37135010707', '37135010709', '37135010710', '37135010707']]",[0.08943474962063733]
CVS - 7361,"[['37055970200', '37055970302']]",[0.10794958192936478]
CVS - 3808,[['37035010304']],[0.12959014451551765]
PRESBYTERIAN HEALTHCARE PHARMACY,"[['37119002500', '37119002500']]",[0.061196105702364396]
RITE AID - 11483,"[['37119006015', '37119006016', '37119006110', '37119006111', '37119006015']]",[0.10974474548037823]
WALGREENS - 1051,"[['37019020408', '37019020409', '37019020514']]",[0.21394422310756972]
GALLOWAY-SANDS PHARMACY,"[['37019020603', '37019020405']]",[0.15720916304836052]
CVS - 3540,"[['37119001605', '37119001606', '37119001702', '37119001605']]",[0.06605589855938392]
CVS - 7578,"[['37071032507', '37071032509', '37071033308', '37071033311', '37071032507']]",[0.07481517197042752]
COMMUNITY DRUGS,"[['37165010300', '37165010300']]",[0.14313555651797316]
WAL-MART SUPERCENTER - 5481,"[['37119006103', '37119006222', '37119006103']]",[0.11628284138825819]
WAL-MART SUPERCENTER - 1287,"[['37001021703', '37001021801', '37001020701']]",[0.10672340425531915]
HARRIS TEETER - 166,[['37119006103']],[0.11705685618729098]
CVS - 5377,"[['37151031200', '37151031307', '37151031200']]",[0.2004776526782668]
CVS - 3899,"[['37071030403', '37071030802', '37071030802']]",[0.20147637795275591]
CVS - 3514,[['37071033502']],[0.10720720720720721]
SEYMOUR JOHNSON AIR FORCE BASE - 4TH MEDICAL GROUP-DOD,"[['37191000500', '37191000601', '37191000500']]",[0.10743688254665203]
WALGREENS - 10674,"[['37059080301', '37059080302', '37059080301']]",[0.15593220338983052]
HARRIS TEETER - 58,"[['37183053415', '37183053430', '37183053434']]",[0.060019289264782255]
RITE AID - 11420,"[['37083930400', '37083930400']]",[0.17859815415315541]
WAL-MART SUPERCENTER - 1321,[['37101040700']],[0.20078947368421052]
DUKE OUTPATIENT PHARMACY,"[['37063000600', '37063001501', '37063001501']]",[0.04161655039692086]
PARKER'S DRUG STORE,"[['37039930300', '37039930502']]",[0.16182027271233776]
RITE AID - 11430,"[['37167930500', '37167931202', '37167931204']]",[0.1982393581457544]
RITE AID - 11416,"[['37147000605', '37147001700', '37147002003', '37147000605']]",[0.16580226904376014]
CVS - 7641,[['37155960900']],[0.1818637274549098]
BUTLER'S PHARMACY,"[['37163970801', '37163971001', '37163970701']]",[0.08400328137817883]
ELLERBE PHARMACY,"[['37153970100', '37153970200', '37153970200']]",[0.1412556053811659]
COMMUNITY HEALTH MART PHARMACY,"[['37145920500', '37145920602', '37145920500']]",[0.17244270542202347]
HOLLY HILL HOSPITAL,"[['37183052810', '37183052811', '37183052001']]",[0.0925984251968504]
HOLLY PARK PHARMACY,[['37183052701']],[0.08299566857621908]
CVS - 4183,"[['37089930302', '37089931402']]",[0.14916963226571767]
THE PLAZA PHARMACIST,[['37183052701']],[0.08299566857621908]
CAROLINAS MEDICAL CENTER RX,[['37119005834']],[0.10886917960088692]
WALGREENS - 2696,"[['37097060100', '37097060100']]",[0.10054572515296842]
WAL-MART SUPERCENTER - 1179,"[['37021002203', '37021002203']]",[0.14717112113849357]
WALGREENS - 1560,"[['37129012007', '37129012006']]",[0.13933945671291773]
CVS - 3837,"[['37071032505', '37071033303', '37071032505']]",[0.09974424552429667]
CVS - 5445,"[['37119006109', '37119005406']]",[0.09787297337498141]
TRINITY INFUSION INCORPORATED,[['37067003805']],[0.13403012603750383]
WAL-MART - 1209,[['37109070201']],[0.13980263157894737]
RITE AID - 11312,"[['37067004011', '37067004011']]",[0.052024088323854134]
STOKES PHARMACY,[['37169070200']],[0.21553808948004838]
THE COMPOUNDING PHARMACY,[['37035010900']],[0.18611793611793612]
THOMAS DRUG STORE,"[['37195000100', '37195000100']]",[0.17457142857142857]
MCDOWELLS PHARMACY,"[['37083931000', '37083931101', '37083931102', '37083931101']]",[0.20906567992599445]
ECONOMY DRUGS,"[['37089931200', '37089931200']]",[0.1861777150916784]
CVS - 5594,"[['37133000205', '37133001201', '37133001202', '37133001202']]",[0.15866213051738612]
MORRIS FAMILY PHARMACY,[['37085070500']],[0.1646897025958398]
TRIANGLE PHARMACY AND TRUE VALUE HARDWARE,[['37063002013']],[0.09140575751208237]
RITE AID - 11489,"[['37119001609', '37119001923', '37119001925', '37119001925']]",[0.08449025799916582]
CVS - 3832,"[['37067003307', '37067003307']]",[0.12892848304875032]
WAL-MART SUPERCENTER - 1096,"[['37059080101', '37059080600', '37059080600']]",[0.16608996539792387]
CVS - 7046,"[['37141920202', '37141920202']]",[0.08405863490609253]
WALGREENS - 10133,"[['37159050800', '37159050201']]",[0.239291660360224]
ELDER DRUG,[['37081013700']],[0.0891483152029716]
RITE AID - 11552,"[['37023020202', '37023020204', '37023020500']]",[0.20664547225925545]
REALO DISCOUNT DRUGS,"[['37133001301', '37133001301']]",[0.22131147540983606]
WOODARD DRUG STORE INCORPORATED,"[['37101040501', '37101040502', '37101040502']]",[0.2129579302098054]
CVS - 2326,"[['37119001607', '37119001919', '37119001607']]",[0.07178958225889634]
RITE AID - 11473,"[['37119002702', '37119003204', '37119003204']]",[0.08306451612903226]
SPINDALE DRUG COMPANY,"[['37161960600', '37161960600']]",[0.26565228236467947]
REX PHARMACY OF RALEIGH,[['37183052504']],[0.11024643320363164]
RITE AID - 11341,"[['37157041601', '37157041502']]",[0.14601055238505437]
CVS - 7560,"[['37119005403', '37119005512', '37119005535', '37119005512']]",[0.07473227474150665]
WALGREENS - 7280,[['37057061000']],[0.15229166666666666]
WAL-MART SUPERCENTER - 1010,"[['37153970600', '37153970900', '37153970600']]",[0.15841738994448354]
VITA DRUG,"[['37119003106', '37119003108', '37119003109', '37119003808', '37119003808']]",[0.05406531787527468]
GORDON FAMILY PHARMACY INCORPORATED,"[['37175960201', '37175960302', '37175960403', '37175960501', '37175960502', '37175960302']]",[0.1467879279383653]
CVS - 3526,"[['37119003802', '37119003811', '37119003201']]",[0.11012882040919424]
BLUE RIDGE LONG TERM CARE PHARMACY,"[['37023021203', '37023020902']]",[0.19640245685873062]
BI-LO - 156,"[['37119005859', '37119005862', '37119005859']]",[0.06300331596399811]
CVS - 5577,"[['37061090706', '37061090706']]",[0.14817298022125377]
CVS - 4390,"[['37031970704', '37031970501']]",[0.24555511655472145]
HARRIS TEETER - 254,"[['37063001604', '37063001711', '37063001712', '37135010904', '37063001711']]",[0.10272457963032502]
SAM'S CLUB - 6402,[['37081016503']],[0.043514092632272953]
FAMILY CARE SPECIALTY PHARMACY,"[['37119001918', '37119001918']]",[0.0719002201027146]
CVS - 5540,"[['37057060201', '37057060203', '37057060203']]",[0.15643694663795166]
RITE AID - 11481,"[['37119004303', '37119004304', '37119006012', '37119980100', '37119004303']]",[0.14539330573293102]
CVS - 7515,"[['37001020302', '37001021101', '37001020302']]",[0.09308536003814974]
RITE AID - 11396,"[['37183053712', '37183053713', '37183053722', '37183053729', '37183053722']]",[0.14096916299559473]
BI-LO - 237,"[['37119001910', '37119001924', '37119001910']]",[0.06246264196054991]
RITE AID - 11518,"[['37125950801', '37125950801']]",[0.11593676176630928]
MISSION HOSPITALS,"[['37021000900', '37021000900']]",[0.20217620217620216]
MURPHY MEDICAL CENTER PHARMACY,"[['37039930401', '37039930501']]",[0.2031853281853282]
WG BILL HEFNER VETERANS AFFAIRS MEDICAL CENTER,[['37159050400']],[0.14490818030050084]
BI-LO - 185,"[['37025040704', '37025040900', '37025040704']]",[0.19040598775232478]
CVS - 3694,"[['37119001921', '37119001926', '37119002007', '37119001927']]",[0.10855628686212497]
RITE AID - 11564,"[['37089931300', '37089931300']]",[0.1675430210325048]
CVS - 7315,"[['37009970701', '37009970702', '37193960901', '37009970501']]",[0.1813551177318597]
HARRIS TEETER - 160,"[['37119002903', '37119002903']]",[0.05844317333996518]
CVS - 7572,"[['37151031101', '37151031401', '37151031402', '37151031401']]",[0.18678762502907653]
ATKINSON DRUG,"[['37141920501', '37163971002', '37163971003', '37141920501']]",[0.2024186348510673]
WAL-MART SUPERCENTER - 4459,"[['37127011101', '37127011101']]",[0.1095592799503414]
WALGREENS - 7801,"[['37101041104', '37101041004']]",[0.09080445069702008]
RANDOLPH MEDICAL PHARMACY,[['37119002202']],[0.0751188589540412]
ELLIOTTS PHARMACY,"[['37085071002', '37085071003', '37183053106', '37183053112', '37183053113', '37183053112']]",[0.13977797001153403]
FOOD LION - 1654,"[['37183054116', '37183054121', '37183054022']]",[0.07590871490438421]
WALGREENS - 1319,[['37129010700']],[0.24070125562662875]
HOMECHOICE PARTNERS,[['37063002036']],[0.05343796711509716]
RITE AID - 11490,"[['37119001917', '37119005627', '37119001917']]",[0.07875997544505832]
RITE AID - 11488,"[['37119005815', '37119003018']]",[0.06836094579379122]
NORTH CAROLINA SPECIALTY HOSPITAL,[['37063000102']],[0.12148028962188254]
ASHEBORO DRUG COMPANY INCORPORATED,[['37151030201']],[0.20253968253968255]
CAROLINAS MEDICAL CENTER - STEELE CREEK,"[['37119005925', '37119005926', '37119005918']]",[0.06314849171992029]
D-REX DRUGS OF JONESVILLE,"[['37197050300', '37171930901']]",[0.196360558611934]
THE MEDICINE SHOPPE PHARMACY,"[['37025041902', '37025042402']]",[0.12587121606158327]
WALGREENS - 7767,"[['37025041202', '37025042503']]",[0.07599786172487527]
DENTON DRUG STORE,"[['37057061902', '37057062002']]",[0.21978268175198834]
INGLES MARKETS - 120,"[['37023020301', '37023020303', '37023020304', '37023021400', '37023021400']]",[0.19544628336362765]
WAL-MART - 1064,[['37027030100']],[0.1697559185171591]
RITE AID - 11426,"[['37195000802', '37195000801']]",[0.20450723175243862]
WAL-MART SUPERCENTER - 1268,"[['37047930900', '37047930900']]",[0.16059225512528474]
CVS - 5563,[['37019020201']],[0.12867898699520877]
RITE AID - 11522,"[['37129010503', '37129010600', '37129010503']]",[0.10894596988485385]
PRESCRIPTION SHOPPE,[['37125951102']],[0.11048265460030166]
RITE AID - 11546,"[['37171930901', '37193960101', '37193960102', '37193960200', '37171930901']]",[0.1936460773670076]
CVS - 7062,"[['37081015302', '37081017200', '37081017200']]",[0.0924103340588625]
TRYON PHARMACY,"[['37149920303', '37149920304', '37149920304']]",[0.24955461148417157]
FREEDOM HILL COMMUNITY HEALTH CENTER PHARMACY,"[['37065020800', '37065020900', '37065020900']]",[0.17592331547786863]
CVS - 8260,"[['37119006105', '37119006108', '37119006223', '37119006105']]",[0.08646854252292127]
CVS - 2877,"[['37179020203', '37179020309', '37179020309']]",[0.10534864833507368]
RITE AID - 11507,[['37051002100']],[0.16372939169982945]
WALKER'S DRUG STORE,"[['37119005846', '37119005846']]",[0.03056532323505545]
CVS - 7559,"[['37001020501', '37001021500', '37001020502']]",[0.10004719207173195]
CVS - 7039,"[['37183053005', '37183053006', '37183053405']]",[0.06669884946496098]
DRUMS PHARMACY,"[['37065020700', '37083930901', '37083930902', '37083930902']]",[0.17248041214983365]
3HC,[['37191001900']],[0.1329394387001477]
BIRMINGHAM DRUG COMPANY INCORPORATED,"[['37153971000', '37153971100', '37153970900']]",[0.15651047988994093]
CVS - 3864,"[['37051001500', '37051001603', '37051001604', '37051003002', '37051001603']]",[0.1891219512195122]
PROFESSIONAL CARE HOME OXYGEN AND MEDICAL EQUIPMENT,[['37051001800']],[0.22333044232437121]
WALGREENS - 7647,"[['37067002605', '37067003908', '37067002605']]",[0.0847209271346743]
WALGREENS - 7342,"[['37119003020', '37119003013']]",[0.09704321455648218]
CAROLINAS MEDICAL CENTER - NORTH PARK PHARMACY,"[['37119005306', '37119005308', '37119005306']]",[0.06080892608089261]
RITE AID - 11438,"[['37119006208', '37119006208']]",[0.04729011689691817]
HARRIS TEETER - 63,"[['37127010504', '37127010506']]",[0.1238403451995685]
HARDIN'S DRUG - 2,"[['37161961001', '37161961102', '37161961103', '37161961104', '37161960900']]",[0.20282504363001747]
COLUMBIA PHARMACY,"[['37095920101', '37177960100', '37177960100']]",[0.1820025348542459]
FAMILY PHARMACY,"[['37153970400', '37153970400']]",[0.18357022404239942]
LAUREL MEDICAL CENTER PHARMACY,"[['37115010100', '37115010100']]",[0.15170278637770898]
WAL-MART SUPERCENTER - 1613,"[['37081014200', '37081014501', '37081014503', '37151031601', '37151031602', '37151031602']]",[0.18281782522024306]
MLK PHARMACY,"[['37067000500', '37067000600', '37067001602', '37067001700', '37067001800', '37067000700']]",[0.167901878914405]
CVS - 3988,"[['37081014408', '37081014408']]",[0.18834737999267132]
MEDICAL ARTS PHARMACY,"[['37181960300', '37181960400']]",[0.1894540363975735]
WAKE FOREST UNIVERSITY STUDENT HEALTH SERVICE PHARMACY,"[['37067001300', '37067002704', '37067002705', '37067001300']]",[0.10052910052910052]
WAL-MART SUPERCENTER - 1133,"[['37167931002', '37167931203', '37167931203']]",[0.2645659299989426]
WAL-MART SUPERCENTER - 2749,"[['37023020203', '37111970101', '37111970102', '37121950400']]",[0.16624649859943977]
PIEDMONT DRUG AND HOME DELIVERY,"[['37081016409', '37081016410', '37081016505', '37081016506', '37081016506']]",[0.12063309097357687]
MARTIN'S DRUG STORE,"[['37021002401', '37087920300', '37087920400']]",[0.14999441153459261]
WALGREENS - 9462,[['37163970701']],[0.06757464641173389]
CAREPLUS,"[['37119000301', '37119000302', '37119002600', '37119980300', '37119000301']]",[0.08201717927403714]
WAL-MART SUPERCENTER - 1664,[['37195000501']],[0.1305094447624499]
CARLIE C'S IGA,"[['37051003307', '37051003310', '37051003311', '37051003316', '37051003318', '37051003310']]",[0.13520723212962504]
CVS - 4098,"[['37179020316', '37179020313']]",[0.09890859481582538]
RITE AID - 11532,"[['37031971103', '37031971103']]",[0.22794552989934871]
SAM'S CLUB - 6668,[['37063002037']],[0.03293807641633729]
RAPER DISCOUNT DRUGS,[['37191001900']],[0.1329394387001477]
RITE AID - 11461,"[['37161960102', '37161960502', '37161960503', '37161960503']]",[0.26991766941101963]
RITE AID - 11556,"[['37021002305', '37021002402', '37021002503', '37021002504', '37021002505', '37021002505']]",[0.14211741219040488]
HARRIS TEETER - 249,"[['37179021004', '37179021020', '37179021020']]",[0.04791978644442998]
WAL-MART - 2137,"[['37063002029', '37135011206', '37063002029']]",[0.1156183281326983]
FOSTER DRUG,"[['37059080102', '37059080500', '37059080701', '37059080702', '37059080600']]",[0.20056047035551403]
WAL-MART SUPERCENTER - 1663,"[['37087920701', '37087920800', '37087921202', '37087921201']]",[0.1709874989512543]
PHARMERICA,"[['37081012618', '37081012618']]",[0.15230613279270147]
HAYES-BARTON PHARMACY,"[['37183051600', '37183051700', '37183051600']]",[0.0681376215407629]
RITE AID - 11391,[['37183050400']],[0.04940197607904316]
REMEDY SHOPPE HEALTH MART PHARMACY,"[['37019020508', '37019020518']]",[0.18261021083812512]
WALGREENS - 9562,[['37045950900']],[0.22292051756007394]
CHAIR CITY PHARMACY,"[['37057060900', '37057061000']]",[0.1241115943566352]
INGLES MARKETS - 27,[['37161960800']],[0.2551557700745941]
MID-CAROLINA HOMECARE SPECIALISTS,"[['37183053609', '37183053609']]",[0.07613469985358712]
WALGREENS - 6616,[['37147000301']],[0.10497032640949555]
WAL-MART SUPERCENTER - 2772,"[['37019020305', '37019020306', '37019020307', '37019020305']]",[0.12952609158679446]
WALGREENS - 12063,"[['37183054305', '37183054305']]",[0.1723911616714067]
CAROLINA BREATHING SOLUTIONS,"[['37087920900', '37087921100', '37087921301', '37087920900']]",[0.18938885157824042]
DUNN DISCOUNT DRUGS,[['37085070500']],[0.1646897025958398]
DOWN EAST RESPIRATORY SERVICES INCORPORATED,"[['37147000504', '37147000504']]",[0.10455588331694526]
BEAR DRUGS OF NAGS HEAD,[['37055970400']],[0.07920792079207921]
RITE AID - 11547,[['37097060601']],[0.09798165137614678]
BLOOM - 2585,"[['37119005510', '37119005511', '37119005528']]",[0.05312388432702606]
CVS - 4431,"[['37081010602', '37081011500', '37081010602']]",[0.09011529331976942]
RITE AID - 11400,"[['37183054011', '37183054011']]",[0.05146281283045471]
CVS - 5565,"[['37071032702', '37071032702']]",[0.23865110246433205]
CAREMOR FAMILY PHARMACY,"[['37035011505', '37035011506', '37109071101', '37109071101']]",[0.12387898433279308]
HEALTHSMART PHARMACY,[['37097061403']],[0.11811577220529647]
MEDICINE CENTER PHARMACY,[['37085070100']],[0.21389089161259311]
BUNN DRUG,"[['37069060701', '37069060703', '37069060801', '37069060801']]",[0.22581459964637535]
WAL-MART - 4334,"[['37021002701', '37021002702', '37021002702']]",[0.14639191052550943]
RITE AID - 11472,"[['37119004200', '37119004302', '37119004200']]",[0.1258931929296728]
CVS - 7584,[['37067003805']],[0.13403012603750383]
CVS - 7089,"[['37119000103', '37119000501', '37119000502', '37119000503', '37119004900', '37119005200', '37119000103']]",[0.08832147341984094]
RITE AID - 11499,"[['37119005847', '37119005817']]",[0.07223663725998962]
CVS - 7330,[['37127010506']],[0.09861197431116636]
CVS - 3582,"[['37089931000', '37089931000']]",[0.21481028151774786]
RITE AID - 11557,"[['37087920400', '37087920400']]",[0.15609514370664024]
DOROTHEA DIX HOSPITAL PHARMACY,"[['37183051000', '37183051000']]",[0.13864541832669322]
MEDICAL PHARMACY OF ALBEMARLE INCORPORATED,"[['37167931204', '37167931204']]",[0.2746212121212121]
RITE AID - 11453,"[['37119005848', '37119005851', '37119005849']]",[0.05687677980451012]
MOUNTAIN STREET PHARMACY INCORPORATED,"[['37045950500', '37045950400']]",[0.17177302393038435]
THE DRUG STORE,"[['37109070202', '37109070202']]",[0.15153393244499536]
GAMEWELL FAMILY PHARMACY,"[['37027030200', '37027030300', '37027030802', '37027030900', '37027030300']]",[0.18371676409579482]
WALGREENS - 1611,[['37183052701']],[0.08299566857621908]
RITE AID - 11422,"[['37013930200', '37013930400', '37013930300']]",[0.193156205177242]
WALGREENS - 12728,"[['37063002035', '37063002036']]",[0.07885462555066079]
CVS - 5504,"[['37051002505', '37051002505']]",[0.15681233933161953]
WALGREENS - 6479,[['37119005834']],[0.10886917960088692]
WAL-MART SUPERCENTER - 1238,[['37051002001']],[0.10510610079575597]
WAL-MART - 2247,[['37183053004']],[0.09203606311044328]
CVS - 4297,[['37037020402']],[0.09970978441127695]
RITE AID - 11383,[['37101040700']],[0.20078947368421052]
RITE AID - 11366,"[['37135011800', '37135011903', '37135011904', '37135011903']]",[0.0783041315163314]
POPE AIR FORCE BASE - 43RD MEDICAL SQUADRON - POPE HEALTH CLINIC-DOD,"[['37051003401', '37085071302', '37051003401']]",[0.09863387978142077]
CATAWBA VALLEY MEDICAL CENTER,[['37035010204']],[0.12342671538773853]
HARRIS TEETER - 69,"[['37183052509', '37183052509']]",[0.11381863047501542]
THE VILLAGE AT BROOKWOOD,"[['37001020602', '37001020602']]",[0.1745411948457634]
CVS - 6407,"[['37045950603', '37045950400']]",[0.16692131398013751]
RITE AID - 11373,"[['37183052813', '37183052814', '37183052812']]",[0.11944469485260975]
RITE AID - 11334,"[['37081014000', '37081014000']]",[0.1347517730496454]
ALBEMARLE COMPOUNDING AND PRESCRIPTION CENTER,[['37167931204']],[0.2746212121212121]
HEALTH INNOVATIONS PHARMACY,[['37125951102']],[0.11048265460030166]
SOUTH COURT DRUG COMPANY,"[['37001021000', '37001021000']]",[0.12276975361087511]
CVS - 7394,"[['37081011601', '37081012604', '37081012611', '37081011601']]",[0.11987288448747321]
WAL-MART SUPERCENTER - 3626,"[['37067003600', '37067003702', '37067003702']]",[0.09120758847136082]
BRIER CREEK HEALTH MART PHARMACY,"[['37183980100', '37183053613']]",[0.11576753878212549]
WALGREENS - 7278,"[['37159051302', '37159050500']]",[0.15346172598732324]
DURHAM TREATMENT CENTER,"[['37063000401', '37063001705', '37063001705']]",[0.09948479791016616]
WALGREENS - 2453,"[['37147000901', '37147000902', '37147001001', '37147000303']]",[0.1343408900083963]
VETERAN AFFAIRS MEDICAL CENTER - CHARLOTTE CLINIC,"[['37119005613', '37119005623']]",[0.05026929982046679]
SEVEN LAKES PRESCRIPTION SHOPPE,"[['37125950304', '37125950305', '37125950303']]",[0.19502791810688647]
MATTHEWS HEALTH MART PHARMACY,"[['37163970600', '37163970701', '37163970702', '37163970701']]",[0.15436831177128255]
INGLES MARKETS - 130,[['37021002204']],[0.13138851198552692]
WALGREENS - 6951,[['37129010503']],[0.10085298544907174]
INGLES MARKETS - 67,[['37175960301']],[0.1408955223880597]
RITE AID - 11364,"[['37183053423', '37183053435', '37183053509', '37183053518', '37183053423']]",[0.0745874587458746]
WAL-MART SUPERCENTER - 3305,"[['37157040601', '37157040602', '37157040900', '37157040900']]",[0.20004563778808854]
WALGREENS - 1056,[['37155960900']],[0.1818637274549098]
WAL-MART SUPERCENTER - 2704,"[['37151030503', '37151031304', '37151031401']]",[0.15584064821066848]
CVS - 3569,"[['37097060902', '37097061003', '37097061003']]",[0.13938662991040662]
CVS - 3620,"[['37139960400', '37139960300']]",[0.1914512031086534]
RITE AID - 11386,[['37183053111']],[0.08310067334537691]
