NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,Geo Point,X,Y
COLLEGE PARK PHARMACY,682 PARK STREET,BELMONT,NC,28012,2728,GASTON,"35.254350345192265, -81.02626146089766",-81.026262,35.25435
CVS - 4379,875 BLOWING ROCK BOULEVARD,LENOIR,NC,28645,3709,CALDWELL,"35.92672071179139, -81.52729886565008",-81.527299,35.926721
KERR DRUG,119 UNITED STATES HIGHWAY 13 BYPASS,WINDSOR,NC,27983,,BERTIE,"36.007656855879176, -76.9563187067429",-76.956319,36.007657
RITE AID - 11534,101 WEST MAIN STREET,HAVELOCK,NC,28532,2655,CRAVEN,"34.88314589686564, -76.91202287725392",-76.912023,34.883146
WALGREENS - 7766,1510 SARDIS ROAD NORTH,CHARLOTTE,NC,28270,1408,MECKLENBURG,"35.138232898929104, -80.73993544726302",-80.739935,35.138233
WALGREENS - 7919,6861 MARKET STREET,WILMINGTON,NC,28405,9724,NEW HANOVER,"34.262141164183326, -77.83001469432268",-77.830015,34.262141
CVS - 7053,904 SOUTH 5TH STREET,MEBANE,NC,27302,3239,ALAMANCE,"36.07720578421953, -79.27633213941667",-79.276332,36.077206
KMART,1122 RANDOLPH STREET,THOMASVILLE,NC,27360,5175,DAVIDSON,"35.85884093236312, -80.0749311910216",-80.074931,35.858841
WAL-MART SUPERCENTER - 2793,1130 SOUTH MAIN STREET,KERNERSVILLE,NC,27284,7480,FORSYTH,"36.11013307777925, -80.10239154093685",-80.102391,36.110133
KERR DRUG,710 FAYETTEVILLE STREET,DURHAM,NC,27701,3911,DURHAM,"35.98599554855569, -78.8992370237696",-78.899237,35.985996
EAST BURKE PHARMACY,300 MAIN AVENUE WEST,HILDEBRAN,NC,28637,8315,BURKE,"35.71039213279066, -81.42582409370691",-81.425824,35.710392
HARRIS TEETER - 224,1125 NC HIGHWAY 54 WEST,DURHAM,NC,27707,,DURHAM,"35.91759953399127, -78.95852866796366",-78.958529,35.9176
CVS - 2313,2340 SPRING FOREST ROAD,RALEIGH,NC,27615,7528,WAKE,"35.861095857387895, -78.60137443048558",-78.601374,35.861096
RITE AID - 11365,1800 EAST FRANKLIN STREET,CHAPEL HILL,NC,27514,5858,ORANGE,"35.935598923351606, -79.02637799005218",-79.026378,35.935599
WALLACE DRUG COMPANY,100 WEST MAIN STREET,WALLACE,NC,28466,2902,DUPLIN,"34.73499267836939, -77.99646868927856",-77.996469,34.734993
HARRIS TEETER - 46,9641 BROOKDALE DRIVE,CHARLOTTE,NC,28215,8706,CABARRUS,"35.282762707532925, -80.66941300550573",-80.669413,35.282763
CVS - 3880,309 EAST CORNWALLIS DRIVE,GREENSBORO,NC,27408,5103,GUILFORD,"36.102808888419396, -79.78500748810507",-79.785008,36.102809
FOOD LION - 1689,109 FOOD LION PLAZA,SILER CITY,NC,27344,2835,CHATHAM,"35.735173039004515, -79.44107261830668",-79.441073,35.735173
WALGREENS - 7096,1706 NORTH SANDHILLS BOULEVARD,ABERDEEN,NC,28315,2338,MOORE,"35.15377243834733, -79.41506259516261",-79.415063,35.153772
CVS - 187,14125 STEELE CREEK ROAD,CHARLOTTE,NC,28273,6845,MECKLENBURG,"35.10236732689058, -80.9875595890038",-80.98756,35.102367
FAMILY CARE PHARMACY,606 SOUTH CHURCH STREET,HERTFORD,NC,27944,1205,PERQUIMANS,"36.180890930571984, -76.4640836926083",-76.464084,36.180891
CVS - 7523,1040 ALAMANCE CHURCH ROAD,GREENSBORO,NC,27406,3808,GUILFORD,"36.04105617300393, -79.77139499798072",-79.771395,36.041056
BELMONT DRUG HEALTH MART PHARMACY,403 EAST CATAWBA STREET,BELMONT,NC,28012,3311,GASTON,"35.24298493710512, -81.02857626278426",-81.028576,35.242985
MIDDLESEX PHARMACY,10196 SOUTH NASH STREET,MIDDLESEX,NC,27557,,NASH,"35.788456456500214, -78.2043016211229",-78.204302,35.788457
OVERMAN AND STEVENSON PHARMACISTS,512 EAST MAIN STREET,ELIZABETH CITY,NC,27909,4430,PASQUOTANK,"36.29999467011787, -76.21996427273295",-76.219964,36.299995
KERR DRUG,2901 WAKEFIELD PINES DRIVE,RALEIGH,NC,27614,9826,WAKE,"35.942598881932824, -78.55856687556084",-78.558567,35.942599
CVS - 3856,44 BRANCHVIEW DRIVE NORTHEAST,CONCORD,NC,28025,3404,CABARRUS,"35.42035584554582, -80.57218074934204",-80.572181,35.420356
A PLUS PHARMACY,3010 MONROE ROAD,CHARLOTTE,NC,28205,7533,MECKLENBURG,"35.203849814117625, -80.80450905354994",-80.804509,35.20385
RITE AID - 11405,3798 GUESS ROAD,DURHAM,NC,27705,6909,DURHAM,"36.0569855883142, -78.92840504505673",-78.928405,36.056986
WAL-MART SUPERCENTER - 3825,566 UNITED STATES HIGHWAY 70 WEST,HAVELOCK,NC,28532,,CRAVEN,"34.91416658541953, -76.93668743457741",-76.936687,34.914167
CLARKTON DRUG INCORPORATED,80 EAST GREEN STREET,CLARKTON,NC,28433,5002,BLADEN,"34.486545298126984, -78.65509041738885",-78.65509,34.486545
HARRIS TEETER - 330,1151 TRYON VILLAGE DRIVE,CARY,NC,27518,,WAKE,"35.747039418934015, -78.74339605238588",-78.743396,35.747039
CVS - 7555,2902 FORESTVILLE ROAD,RALEIGH,NC,27616,8774,WAKE,"35.89490127417444, -78.50750340485823",-78.507503,35.894901
KROGER,5116 NORTH ROXBORO STREET,DURHAM,NC,27704,1420,DURHAM,"36.06925449939559, -78.90644643175737",-78.906446,36.069254
WAL-MART - 3889,3151 APEX PEAKWAY,APEX,NC,27502,,WAKE,"35.715427193210346, -78.8425777095936",-78.842578,35.715427
WALGREENS - 10085,825 TIMBER DRIVE,GARNER,NC,27529,4849,WAKE,"35.68537259956581, -78.61880058657775",-78.618801,35.685373
CVS - 4299,1305 MATTHEWS TOWNSHIP PARKWAY,MATTHEWS,NC,28105,4600,MECKLENBURG,"35.12243450225048, -80.71684647248667",-80.716847,35.122434
KERR DRUG,1987 COTTON GROVE ROAD,LEXINGTON,NC,27292,5721,DAVIDSON,"35.771090299577615, -80.26050575833405",-80.260506,35.77109
WALGREENS - 1253,340 NORTH MAIN STREET,KERNERSVILLE,NC,27284,2881,FORSYTH,"36.12444050912216, -80.06986894769373",-80.069869,36.12444
CVS - 7026,2770 LEWISVILLE CLEMMONS ROAD,CLEMMONS,NC,27012,8716,FORSYTH,"36.022511302554555, -80.38260253877613",-80.382603,36.022511
HEALTH CARE CONNECTIONS,402 SOUTH MAIN STREET,RAEFORD,NC,28376,3223,HOKE,"34.972498751016516, -79.22486693256285",-79.224867,34.972499
WAL-MART SUPERCENTER - 3864,561 YOPP ROAD,JACKSONVILLE,NC,28540,3591,ONSLOW,"34.75145240500444, -77.46465223031616",-77.464652,34.751452
MCNEILLS PHARMACY / LIBERTY MEDICAL SPECIALTIES,612 JEFFERSON STREET,WHITEVILLE,NC,28472,3708,COLUMBUS,"34.33778277545467, -78.69036050063657",-78.69036,34.337783
RITE AID - 11497,9835 MONROE ROAD,CHARLOTTE,NC,28270,1471,MECKLENBURG,"35.138043756214344, -80.73796015114003",-80.73796,35.138044
PHARMACY PLUS,1204 SOUTH GLENBURNIE ROAD,NEW BERN,NC,28562,2609,CRAVEN,"35.124319438091554, -77.08768196485076",-77.087682,35.124319
MOUNT AIRY DRUG HEALTH MART PHARMACY,701 WEST PINE STREET,MOUNT AIRY,NC,27030,4587,SURRY,"36.49870299504714, -80.62099213867621",-80.620992,36.498703
MEDICAP PHARMACY,201 2ND AVENUE SOUTHWEST,CATAWBA,NC,28609,8811,CATAWBA,"35.7052602270778, -81.07718744864181",-81.077187,35.70526
HARRIS TEETER - 172,1817 MARTIN LUTHER KING PARKWAY,DURHAM,NC,27707,3585,DURHAM,"35.95961121228759, -78.95901428837865",-78.959014,35.959611
CVS - 7048,7295 BEACH DRIVE SOUTHWEST,OCEAN ISLE BEACH,NC,28469,5515,BRUNSWICK,"33.896541231492606, -78.48656771732628",-78.486568,33.896541
RITE AID - 11548,3040 HICKORY BOULEVARD,HUDSON,NC,28638,2659,CALDWELL,"35.847538483114455, -81.47401439684693",-81.474014,35.847538
RITE AID - 11484,3534 MOUNT HOLLY HUNTERSVILLE ROAD,CHARLOTTE,NC,28216,7804,MECKLENBURG,"35.32306431956265, -80.94610658844827",-80.946107,35.323064
RITE AID - 11358,602 JONES FERRY ROAD,CARRBORO,NC,27510,2165,ORANGE,"35.90687972222138, -79.08947191749496",-79.089472,35.90688
CVS - 7361,1101 CROATAN HIGHWAY,KILL DEVIL HILLS,NC,27948,,DARE,"36.00523126740903, -75.65518705823614",-75.655187,36.005231
MEDICAP PHARMACY,1345 NORTH LIBERTY STREET,WINSTON SALEM,NC,27105,6625,FORSYTH,"36.11259676243059, -80.23409258170726",-80.234093,36.112597
CVS - 3808,2225 12TH AVENUE NORTHEAST,HICKORY,NC,28601,3188,CATAWBA,"35.74412789708474, -81.29513348802003",-81.295134,35.744128
PRESBYTERIAN HEALTHCARE PHARMACY,200 HAWTHORNE LANE,CHARLOTTE,NC,28204,2515,MECKLENBURG,"35.21192602466629, -80.82455931625938",-80.824559,35.211926
KROGER,3825 SOUTH ROXBORO STREET,DURHAM,NC,27713,4700,DURHAM,"35.94960322470904, -78.92123450936506",-78.921234,35.949603
RITE AID - 11483,8450 BELLHAVEN BOULEVARD,CHARLOTTE,NC,28216,6103,MECKLENBURG,"35.304973304574325, -80.93662620613446",-80.936626,35.304973
WALGREENS - 1051,4577 MAIN STREET,SHALLOTTE,NC,28470,4447,BRUNSWICK,"33.97840500108992, -78.37639960925456",-78.3764,33.978405
KERR DRUG,6525 JORDAN ROAD,RAMSEUR,NC,27316,9528,RANDOLPH,"35.737907712770706, -79.65705332515078",-79.657053,35.737908
GALLOWAY-SANDS PHARMACY,58 PHYSICIANS DRIVE,SUPPLY,NC,28462,4216,BRUNSWICK,"34.014873681874896, -78.28330755300118",-78.283308,34.014874
CVS - 3540,4391 CENTRAL AVENUE,CHARLOTTE,NC,28205,5759,MECKLENBURG,"35.21470650719952, -80.77136842821038",-80.771368,35.214706
CVS - 7578,3658 SOUTH NEW HOPE ROAD,GASTONIA,NC,28056,8325,GASTON,"35.22245587174107, -81.10185475429346",-81.101855,35.222456
COMMUNITY DRUGS,1028 ATKINSON STREET,LAURINBURG,NC,28352,4721,SCOTLAND,"34.7646557719463, -79.46862836560653",-79.468628,34.764656
WAL-MART SUPERCENTER - 5481,9820 CALLABRIDGE COURT,CHARLOTTE,NC,28216,7669,MECKLENBURG,"35.329538159458465, -80.94574401237627",-80.945744,35.329538
WAL-MART SUPERCENTER - 1287,3141 GARDEN ROAD,BURLINGTON,NC,27215,9786,ALAMANCE,"36.07203102671047, -79.49900451634534",-79.499004,36.072031
HARRIS TEETER - 166,3540 MOUNT HOLLY-HUNTERSVILLE ROAD,CHARLOTTE,NC,28216,8644,MECKLENBURG,"35.32272010674749, -80.94554378911451",-80.945544,35.32272
CVS - 5377,204 LIBERTY PLAZA,LIBERTY,NC,27298,,RANDOLPH,"35.85403160177695, -79.5785807002391",-79.578581,35.854032
CVS - 3899,902 NC HIGHWAY 274,BESSEMER CITY,NC,28016,,GASTON,"35.28683061364188, -81.26669156406437",-81.266692,35.286831
CVS - 3514,442 NC HIGHWAY 27 SOUTH,STANLEY,NC,28164,,GASTON,"35.35357444230662, -81.0911165477904",-81.091116,35.353574
SEYMOUR JOHNSON AIR FORCE BASE - 4TH MEDICAL GROUP-DOD,1050 JABARA AVENUE,SEYMOUR JOHNSON AIR FORCE BASE,NC,27531,2310,WAYNE,"35.361212656938555, -77.9609368727385",-77.960937,35.361213
KMART,1901 NORTH CROATAN HIGHWAY,KILL DEVIL HILLS,NC,27948,8978,DARE,"36.037667941222466, -75.67291149606864",-75.672911,36.037668
WALGREENS - 10674,5322 UNITED STATES HIGHWAY 158,ADVANCE,NC,27006,,DAVIE,"36.004754320955094, -80.43814430681428",-80.438144,36.004754
HARRIS TEETER - 58,750 WEST WILLIAMS STREET,APEX,NC,27502,5100,WAKE,"35.737684923720195, -78.86251347151946",-78.862514,35.737685
RITE AID - 11420,1825 EAST 10TH STREET,ROANOKE RAPIDS,NC,27870,4925,HALIFAX,"36.43754459840447, -77.64522869215038",-77.645229,36.437545
WAL-MART SUPERCENTER - 1321,1299 NORTH BRIGHTLEAF BOULEVARD,SMITHFIELD,NC,27577,4251,JOHNSTON,"35.52316266542465, -78.30932491731105",-78.309325,35.523163
DUKE OUTPATIENT PHARMACY,200 TRENT DRIVE,DURHAM,NC,27710,1,DURHAM,"36.00448832487624, -78.93618499464176",-78.936185,36.004488
PARKER'S DRUG STORE,14 VALLEY RIVER AVENUE,MURPHY,NC,28906,2955,CHEROKEE,"35.087882201202596, -84.03379785368796",-84.033798,35.087882
CORAM SPECIALTY INFUSION SERVICES,30 GARFIELD STREET,ASHEVILLE,NC,28803,7301,BUNCOMBE,"35.56859815807847, -82.5409774089802",-82.540977,35.568598
RITE AID - 11430,205 SALISBURY AVENUE,ALBEMARLE,NC,28001,3357,STANLY,"35.360172008231565, -80.20013887570852",-80.200139,35.360172
RITE AID - 11416,2438 STANTONSBURG ROAD,GREENVILLE,NC,27834,7210,PITT,"35.607281289899554, -77.41269172364409",-77.412692,35.607281
CVS - 7641,3001 FAYETTEVILLE ROAD,LUMBERTON,NC,28358,2781,ROBESON,"34.63994249135287, -79.00143512672969",-79.001435,34.639942
BUTLER'S PHARMACY,204 EAST MAIN STREET,CLINTON,NC,28328,4031,SAMPSON,"34.99799111989426, -78.32287460148164",-78.322875,34.997991
ELLERBE PHARMACY,274 2ND STREET,ELLERBE,NC,28338,9000,RICHMOND,"35.07203384718427, -79.76231048104385",-79.76231,35.072034
COMMUNITY HEALTH MART PHARMACY,413 HELENA MORIAH ROAD,TIMBERLAKE,NC,27583,7324,PERSON,"36.286512211169544, -78.95151011230182",-78.95151,36.286512
HOLLY HILL HOSPITAL,3019 FALSTAFF ROAD,RALEIGH,NC,27610,1812,WAKE,"35.78274365979205, -78.5839609359484",-78.583961,35.782744
HOLLY PARK PHARMACY,3004 WAKE FOREST ROAD,RALEIGH,NC,27609,7844,WAKE,"35.823263122694904, -78.61942074107432",-78.619421,35.823263
CVS - 4183,2001 SPARTANBURG HIGHWAY,HENDERSONVILLE,NC,28792,5504,HENDERSON,"35.291160087567945, -82.42967924070437",-82.429679,35.29116
THE PLAZA PHARMACIST,3400 WAKE FOREST ROAD,RALEIGH,NC,27609,7317,WAKE,"35.82837861038455, -78.61835986661448",-78.61836,35.828379
CAROLINAS MEDICAL CENTER RX,332 SAM NEWELL ROAD,MATTHEWS,NC,28105,4511,MECKLENBURG,"35.11948587797086, -80.71848373953291",-80.718484,35.119486
WALGREENS - 2696,951 DAVIE AVENUE,STATESVILLE,NC,28677,5301,IREDELL,"35.79495841819641, -80.87473127552794",-80.874731,35.794958
WAL-MART SUPERCENTER - 1179,60 AIRPORT ROAD,ARDEN,NC,28704,9405,BUNCOMBE,"35.456225104804716, -82.52337377887675",-82.523374,35.456225
WALGREENS - 1560,3720 SOUTH COLLEGE ROAD,WILMINGTON,NC,28412,2004,NEW HANOVER,"34.17409539998271, -77.8919586523699",-77.891959,34.174095
CVS - 3837,1803 SOUTH NEW HOPE ROAD,GASTONIA,NC,28054,6511,GASTON,"35.24215398871558, -81.13487016612525",-81.13487,35.242154
CVS - 5445,5100 BEATTIES FORD ROAD,CHARLOTTE,NC,28216,2357,MECKLENBURG,"35.305599502515, -80.85790030155763",-80.8579,35.305599
TRINITY INFUSION INCORPORATED,1400 WESTGATE CENTER DRIVE,WINSTON SALEM,NC,27103,3104,FORSYTH,"36.06956143800993, -80.31278362766224",-80.312784,36.069561
WAL-MART - 1209,401 NORTH GENERALS BOULEVARD,LINCOLNTON,NC,28092,3559,LINCOLN,"35.488314767112776, -81.24694964291163",-81.24695,35.488315
RITE AID - 11312,1485 RIVER RIDGE DRIVE,CLEMMONS,NC,27012,8355,FORSYTH,"36.073893974127586, -80.39057464560338",-80.390575,36.073894
STOKES PHARMACY,1011 HANGING ROCK PARK ROAD,DANBURY,NC,27016,,STOKES,"36.41699129631126, -80.23089280106186",-80.230893,36.416991
KERR DRUG,65 WEAVER BOULEVARD,WEAVERVILLE,NC,28787,9322,BUNCOMBE,"35.704258348144194, -82.56533869692332",-82.565339,35.704258
THE COMPOUNDING PHARMACY,750 4TH STREET SOUTHWEST,HICKORY,NC,28602,3401,CATAWBA,"35.72242982457674, -81.34598936461747",-81.345989,35.72243
KERR DRUG,1050 SOUTH HORNER BOULEVARD,SANFORD,NC,27330,5323,LEE,"35.469748193324435, -79.16776958200056",-79.16777,35.469748
THOMAS DRUG STORE,609 EAST CUMBERLAND STREET,DUNN,NC,28334,5021,HARNETT,"35.30428172322291, -78.60476342039549",-78.604763,35.304282
KROGER,14460 NEW FALLS OF NEUSE,RALEIGH,NC,27614,8227,WAKE,"35.943541204163225, -78.54391005040848",-78.54391,35.943541
MCDOWELLS PHARMACY,1004 MAIN STREET,SCOTLAND NECK,NC,27874,1232,HALIFAX,"36.12897282153846, -77.42260913240551",-77.422609,36.128973
ECONOMY DRUGS,605 5TH AVENUE WEST,HENDERSONVILLE,NC,28739,4205,HENDERSON,"35.317116222435686, -82.46670295967382",-82.466703,35.317116
TARGET,9531 SOUTH BOULEVARD,CHARLOTTE,NC,28273,6901,MECKLENBURG,"35.10827775501433, -80.8786294031244",-80.878629,35.108278
CVS - 5594,2400 GUM BRANCH ROAD,JACKSONVILLE,NC,28540,4008,ONSLOW,"34.80032302009128, -77.43882639732035",-77.438826,34.800323
KERR DRUG,801 HAMLET AVENUE WEST,HAMLET,NC,28345,2507,RICHMOND,"34.89645515448176, -79.704435538869",-79.704436,34.896455
KMART,4915 ARENDELL STREET,MOREHEAD CITY,NC,28557,2687,CARTERET,"34.73227557016138, -76.78821896863043",-76.788219,34.732276
MORRIS FAMILY PHARMACY,105 EAST H STREET,ERWIN,NC,28339,2143,HARNETT,"35.3276470416776, -78.67549929915332",-78.675499,35.327647
TRIANGLE PHARMACY AND TRUE VALUE HARDWARE,4711 HOPE VALLEY ROAD,DURHAM,NC,27707,5651,DURHAM,"35.921868772226034, -78.9557179628137",-78.955718,35.921869
RITE AID - 11489,7115 EAST WT HARRIS BOULEVARD,CHARLOTTE,NC,28227,1009,MECKLENBURG,"35.22301279580386, -80.72416380631459",-80.724164,35.223013
CVS - 3832,1101 SOUTH MAIN STREET,KERNERSVILLE,NC,27284,7478,FORSYTH,"36.10695847185598, -80.09892622556485",-80.098926,36.106958
KERR DRUG,3600 NORTH DUKE STREET,DURHAM,NC,27704,1709,DURHAM,"36.048314219925246, -78.90466560143634",-78.904666,36.048314
WAL-MART SUPERCENTER - 1096,261 COOPER CREEK DRIVE,MOCKSVILLE,NC,27028,5967,DAVIE,"35.927798798375804, -80.58762644810206",-80.587626,35.927799
CVS - 7046,14636 UNITED STATES HIGHWAY 17 NORTH,HAMPSTEAD,NC,28443,,PENDER,"34.36635963908605, -77.7112255124474",-77.711225,34.36636
WALGREENS - 10133,1505 EAST INNES STREET,SALISBURY,NC,28146,6018,ROWAN,"35.6538252482366, -80.45745596711916",-80.457456,35.653825
ELDER DRUG,804 LINDSAY STREET,HIGH POINT,NC,27262,3902,GUILFORD,"35.96408807880174, -80.01482857507862",-80.014829,35.964088
RITE AID - 11552,868 NORTH GREEN STREET,MORGANTON,NC,28655,5610,BURKE,"35.752858223228365, -81.71315823296602",-81.713158,35.752858
REALO DISCOUNT DRUGS,104 PARKWOOD DRIVE,SNOW HILL,NC,28580,1336,GREENE,"35.45405131661493, -77.68374869504622",-77.683749,35.454051
WOODARD DRUG STORE INCORPORATED,102 EDWARDS STREET,PRINCETON,NC,27569,7279,JOHNSTON,"35.46521337000096, -78.15939536420464",-78.159395,35.465213
CVS - 2326,5700 ALBEMARLE ROAD,CHARLOTTE,NC,28212,1633,MECKLENBURG,"35.203322735855565, -80.7499981010315",-80.749998,35.203323
RITE AID - 11473,4133 PARK ROAD,CHARLOTTE,NC,28209,2229,MECKLENBURG,"35.17528492316062, -80.84931540388276",-80.849315,35.175285
SPINDALE DRUG COMPANY,101 WEST MAIN STREET,SPINDALE,NC,28160,1539,RUTHERFORD,"35.35714396212414, -81.9309519694578",-81.930952,35.357144
REX PHARMACY OF RALEIGH,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607,7505,WAKE,"35.81792913122437, -78.703096174249",-78.703096,35.817929
RITE AID - 11341,1703 FREEWAY DRIVE,REIDSVILLE,NC,27320,7121,ROCKINGHAM,"36.35247542380175, -79.69370184336536",-79.693702,36.352475
CVS - 7560,2806 WEST SUGAR CREEK ROAD,CHARLOTTE,NC,28262,7307,MECKLENBURG,"35.30183266874262, -80.8013635227084",-80.801363,35.301833
WALGREENS - 7280,1015 RANDOLPH STREET,THOMASVILLE,NC,27360,5876,DAVIDSON,"35.868107925340425, -80.07239774505983",-80.072398,35.868108
WAL-MART SUPERCENTER - 1010,720 UNITED STATES HIGHWAY 74 BUSINESS,ROCKINGHAM,NC,28379,,RICHMOND,"34.913172015276245, -79.73889771345868",-79.738898,34.913172
VITA DRUG,816 EAST ARROWOOD ROAD,CHARLOTTE,NC,28217,5818,MECKLENBURG,"35.13574731848392, -80.87884163053677",-80.878842,35.135747
GORDON FAMILY PHARMACY INCORPORATED,163 ROSMAN HIGHWAY,BREVARD,NC,28712,4119,TRANSYLVANIA,"35.22459434895, -82.73943615495453",-82.739436,35.224594
CVS - 3526,306 EAST WOODLAWN ROAD,CHARLOTTE,NC,28217,2349,MECKLENBURG,"35.17684086721219, -80.87836927961851",-80.878369,35.176841
BLUE RIDGE LONG TERM CARE PHARMACY,298 PERKINS ROAD SOUTHEAST,VALDESE,NC,28690,9403,BURKE,"35.73320686830232, -81.54384842916163",-81.543848,35.733207
TARGET,2701 LAWNDALE DRIVE,GREENSBORO,NC,27408,4820,GUILFORD,"36.10469593676803, -79.82163497387492",-79.821635,36.104696
BI-LO - 156,8620 CAMFIELD STREET,CHARLOTTE,NC,28277,2396,MECKLENBURG,"35.0534453290387, -80.81562086990719",-80.815621,35.053445
CVS - 5577,1224 NORTH NORWOOD STREET,WALLACE,NC,28466,1370,DUPLIN,"34.75045313500413, -77.99601974951176",-77.99602,34.750453
CVS - 4390,5020 ARENDELL STREET,MOREHEAD CITY,NC,28557,2553,CARTERET,"34.73604377180259, -76.7944068807729",-76.794407,34.736044
KERR DRUG,206 UNITED STATES HIGHWAY 117 SOUTH,BURGAW,NC,28425,,PENDER,"34.55264803697729, -77.9124135461482",-77.912413,34.552648
HARRIS TEETER - 254,1501 HORTON ROAD,DURHAM,NC,27705,2005,DURHAM,"36.056156061752795, -78.93099948214034",-78.930999,36.056156
KROGER,2680 TIMBER DRIVE,GARNER,NC,27529,2571,WAKE,"35.71623576197082, -78.63586487526376",-78.635865,35.716236
SAM'S CLUB - 6402,4418 WEST WENDOVER AVENUE,GREENSBORO,NC,27407,2600,GUILFORD,"36.057917220303445, -79.89913266803818",-79.899133,36.057917
FAMILY CARE SPECIALTY PHARMACY,3620 PROVIDENCE ROAD SOUTH,WAXHAW,NC,28173,7394,UNION,"34.943334480801624, -80.75393262509054",-80.753933,34.943334
CVS - 5540,189 HICKORY TREE ROAD,WINSTON SALEM,NC,27107,8759,DAVIDSON,"35.96612752716361, -80.22408065150081",-80.224081,35.966127
RITE AID - 11481,2400 LITTLE ROCK ROAD,CHARLOTTE,NC,28214,2752,MECKLENBURG,"35.2467890073068, -80.937807253402",-80.937807,35.246789
CVS - 7515,1009 WEST MAIN STREET,HAW RIVER,NC,27258,9562,ALAMANCE,"36.09092170267438, -79.3804832461049",-79.380483,36.090922
RITE AID - 11396,7440 CREEDMOOR ROAD,RALEIGH,NC,27613,1663,WAKE,"35.888352478484066, -78.67795240418006",-78.677952,35.888353
BI-LO - 237,6320 ALBEMARLE ROAD,CHARLOTTE,NC,28212,3814,MECKLENBURG,"35.2016165942304, -80.73767114860458",-80.737671,35.201617
RITE AID - 11518,38 PINECREST PLAZA,SOUTHERN PINES,NC,28387,4301,MOORE,"35.1807574102263, -79.43045506484933",-79.430455,35.180757
MISSION HOSPITALS,445 BILTMORE AVENUE,ASHEVILLE,NC,28801,4565,BUNCOMBE,"35.579726798952606, -82.55067954792274",-82.55068,35.579727
KMART,980 BREVARD ROAD,ASHEVILLE,NC,28806,2256,BUNCOMBE,"35.524996802160665, -82.60381871955822",-82.603819,35.524997
MURPHY MEDICAL CENTER PHARMACY,3990 EAST UNITED STATES HIGHWAY 64 ALTERNATE,MURPHY,NC,28906,,CHEROKEE,"35.072615497207416, -83.96674589031053",-83.966746,35.072615
WG BILL HEFNER VETERANS AFFAIRS MEDICAL CENTER,1601 BRENNER AVENUE,SALISBURY,NC,28144,2515,ROWAN,"35.68421961384409, -80.4880058363003",-80.488006,35.68422
BI-LO - 185,1351 SOUTH CANNON BOULEVARD,KANNAPOLIS,NC,28083,6232,CABARRUS,"35.475458095114945, -80.60959224788391",-80.609592,35.475458
CVS - 3694,2325 VILLAGE LAKE DRIVE,CHARLOTTE,NC,28212,81,MECKLENBURG,"35.1623332323927, -80.74073080228467",-80.740731,35.162333
RITE AID - 11564,640 SPARTANBURG HIGHWAY,HENDERSONVILLE,NC,28792,5761,HENDERSON,"35.30745891829439, -82.45492638604382",-82.454926,35.307459
CVS - 7315,2 CRESCENT LANE,WEST JEFFERSON,NC,28694,7375,ASHE,"36.38153520628467, -81.4853558586859",-81.485356,36.381535
HARRIS TEETER - 160,6701 MORRISON BOULEVARD,CHARLOTTE,NC,28211,5000,MECKLENBURG,"35.15281012328852, -80.82574870204091",-80.825749,35.15281
CVS - 7572,215 SOUTH MAIN STREET,RANDLEMAN,NC,27317,1813,RANDOLPH,"35.815957034889195, -79.80273019564201",-79.80273,35.815957
ATKINSON DRUG,124 WEST MAIN STREET,ATKINSON,NC,28421,,PENDER,"34.52735577624803, -78.17074213743966",-78.170742,34.527356
WAL-MART SUPERCENTER - 4459,1205 EASTERN AVENUE,NASHVILLE,NC,27856,1814,NASH,"35.96982012459903, -77.93399067063288",-77.933991,35.96982
WALGREENS - 7801,11306 UNITED STATES HIGHWAY 70 WEST,CLAYTON,NC,27520,,JOHNSTON,"35.650426397260375, -78.468616711492",-78.468617,35.650426
RANDOLPH MEDICAL PHARMACY,3541 RANDOLPH ROAD,CHARLOTTE,NC,28211,1082,MECKLENBURG,"35.18898739675091, -80.80946452666655",-80.809465,35.188987
ELLIOTTS PHARMACY,202 SOUTH MAIN STREET,FUQUAY VARINA,NC,27526,2259,WAKE,"35.582763879649285, -78.80005824079517",-78.800058,35.582764
FOOD LION - 1654,7440 LOUISBURG ROAD,RALEIGH,NC,27616,6482,WAKE,"35.87403090530197, -78.53947363000398",-78.539474,35.874031
WALGREENS - 1319,2130 SOUTH 17TH STREET,WILMINGTON,NC,28401,7408,NEW HANOVER,"34.2051851735569, -77.92479404331043",-77.924794,34.205185
HOMECHOICE PARTNERS,2700 BREEZEWOOD AVENUE,FAYETTEVILLE,NC,28303,5406,CUMBERLAND,"35.04495074578028, -78.92119513524727",-78.921195,35.044951
RITE AID - 11490,6824 HARRISBURG ROAD,CHARLOTTE,NC,28227,3389,MECKLENBURG,"35.21094410348757, -80.68592590995273",-80.685926,35.210944
RITE AID - 11488,3345 PINEVILLE-MATTHEWS ROAD,CHARLOTTE,NC,28226,9304,MECKLENBURG,"35.09616278538419, -80.78531759033449",-80.785318,35.096163
NORTH CAROLINA SPECIALTY HOSPITAL,3916 BEN FRANKLIN BOULEVARD,DURHAM,NC,27704,2383,DURHAM,"36.0430760746011, -78.89696007254928",-78.89696,36.043076
