Pharmacy,Populations,Disability,Insurance,Poverty,Work
CLARKTON DRUG INCORPORATED,"[['37017950501', '37017950502', '37017950601', '37017950601']]",[0.12934245863293772],[0.9131075110456554],[0.24612319154465911],[0.636306334699023]
HARRIS TEETER - 330,"[['37183053003', '37183053505', '37183053516', '37183053003']]",[0.06926945025142664],[0.9106729193739759],[0.07941891357187271],[0.8543432615288903]
CVS - 7555,"[['37183054111', '37183054120', '37183054218', '37183054218']]",[0.07314461309246671],[0.8960797094701555],[0.0328922847558703],[0.8696059409915033]
WAL-MART - 3889,"[['37183053417', '37183053431', '37183053432', '37183053436']]",[0.08041521582024834],[0.9558504697457461],[0.061351706036745404],[0.8400123622128362]
WALGREENS - 10085,"[['37183052812', '37183052903', '37183052812']]",[0.0905761500669942],[0.9791871371147833],[0.03933691756272401],[0.8507141760098296]
CVS - 4299,[['37119005834']],[0.10886917960088692],[0.9330376940133037],[0.06031042128603104],[0.7639841212558643]
WALGREENS - 1253,[['37067003202']],[0.14847161572052403],[0.889220868765801],[0.22329206785878036],[0.8160431932124952]
CVS - 7026,"[['37067004005', '37067004014']]",[0.11340844372910734],[0.9445338615822706],[0.05431823805988616],[0.8173875985510335]
HEALTH CARE CONNECTIONS,"[['37093970104', '37093970107', '37093970109', '37093970402', '37093970300']]",[0.20195249235198848],[0.8655749505128667],[0.2210867944388404],[0.6735560194850383]
WAL-MART SUPERCENTER - 3864,"[['37133000305', '37133001101', '37133001102', '37133001102']]",[0.21818950419711336],[0.8027054773839],[0.15046948356807513],[0.7546630818349858]
MCNEILLS PHARMACY / LIBERTY MEDICAL SPECIALTIES,"[['37047930400', '37047930900']]",[0.17963059313215402],[0.8783818938605619],[0.19854185652909778],[0.6262417218543046]
RITE AID - 11497,[['37119005866']],[0.04112239961296565],[0.8906627963231737],[0.057329462989840346],[0.901716992303138]
PHARMACY PLUS,"[['37049960501', '37049960502', '37049960600']]",[0.12147566278580446],[0.8398092299060177],[0.22526775648252537],[0.7957634798368827]
MOUNT AIRY DRUG HEALTH MART PHARMACY,"[['37171930501', '37171930502', '37171930700', '37171930400']]",[0.1941171819403811],[0.8624179647347197],[0.24476753474996005],[0.7202201546324204]
HARRIS TEETER - 172,"[['37063002008', '37063002031']]",[0.05351976856316297],[0.9337833494053359],[0.08423780981694476],[0.763517060367454]
CVS - 7048,"[['37019020510', '37019020518', '37019020510']]",[0.21264579496623695],[0.8939226519337017],[0.10804174340085942],[0.6854855698335791]
RITE AID - 11548,"[['37027030600', '37027031201', '37027031202', '37027030600']]",[0.2022029897718332],[0.9071035180397887],[0.12317210348706412],[0.7610912799592044]
RITE AID - 11484,[['37119006103']],[0.11705685618729098],[0.926899187768753],[0.10109680495946591],[0.8274588788183954]
RITE AID - 11358,"[['37135010707', '37135010709', '37135010710', '37135010707']]",[0.08943474962063733],[0.9256449165402124],[0.11731790591805766],[0.815531602155806]
CVS - 7361,"[['37055970200', '37055970302']]",[0.10794958192936478],[0.8567328091850742],[0.07393878322206827],[0.8843561546647748]
CVS - 3808,[['37035010304']],[0.12959014451551765],[0.8381900023691069],[0.27460279819777095],[0.7698099677303694]
PRESBYTERIAN HEALTHCARE PHARMACY,"[['37119002500', '37119002500']]",[0.061196105702364396],[0.9698655540101994],[0.04446546830652791],[0.9130901287553648]
RITE AID - 11483,"[['37119006015', '37119006016', '37119006110', '37119006111', '37119006015']]",[0.10974474548037823],[0.8942726960952427],[0.09076175040518639],[0.788109756097561]
WALGREENS - 1051,"[['37019020408', '37019020409', '37019020514']]",[0.21394422310756972],[0.8778220451527224],[0.17719835040574697],[0.6832267584849976]
GALLOWAY-SANDS PHARMACY,"[['37019020603', '37019020405']]",[0.15720916304836052],[0.8116484503668214],[0.17248091031591556],[0.6878787878787879]
CVS - 3540,"[['37119001605', '37119001606', '37119001702', '37119001605']]",[0.06605589855938392],[0.701453893646684],[0.25227576974564925],[0.8425998433829287]
CVS - 7578,"[['37071032507', '37071032509', '37071033308', '37071033311', '37071032507']]",[0.07481517197042752],[0.9401317904210865],[0.0428928485043941],[0.827922077922078]
COMMUNITY DRUGS,"[['37165010300', '37165010300']]",[0.14313555651797316],[0.8783022953659593],[0.4374694675134343],[0.5532564450474898]
WAL-MART SUPERCENTER - 5481,"[['37119006103', '37119006222', '37119006103']]",[0.11628284138825819],[0.912017515407071],[0.10536119209588597],[0.8334909004963366]
WAL-MART SUPERCENTER - 1287,"[['37001021703', '37001021801', '37001020701']]",[0.10672340425531915],[0.9392340425531915],[0.07580207862629915],[0.8045132743362832]
HARRIS TEETER - 166,[['37119006103']],[0.11705685618729098],[0.926899187768753],[0.10109680495946591],[0.8274588788183954]
CVS - 5377,"[['37151031200', '37151031307', '37151031200']]",[0.2004776526782668],[0.840532241555783],[0.13372926479623182],[0.7265011002829299]
CVS - 3899,"[['37071030403', '37071030802', '37071030802']]",[0.20147637795275591],[0.9119094488188977],[0.07677165354330709],[0.7261516654854713]
CVS - 3514,[['37071033502']],[0.10720720720720721],[0.8806306306306306],[0.05668934240362812],[0.7998345740281224]
SEYMOUR JOHNSON AIR FORCE BASE - 4TH MEDICAL GROUP-DOD,"[['37191000500', '37191000601', '37191000500']]",[0.10743688254665203],[0.8874862788144896],[0.2611583731499825],[0.8024302430243024]
WALGREENS - 10674,"[['37059080301', '37059080302', '37059080301']]",[0.15593220338983052],[0.940989277066759],[0.08673681295860446],[0.7275747508305648]
HARRIS TEETER - 58,"[['37183053415', '37183053430', '37183053434']]",[0.060019289264782255],[0.9476222271681876],[0.04687384113327894],[0.8090457929167607]
RITE AID - 11420,"[['37083930400', '37083930400']]",[0.17859815415315541],[0.8817660264405088],[0.2753803941132452],[0.5901414879050662]
WAL-MART SUPERCENTER - 1321,[['37101040700']],[0.20078947368421052],[0.9223684210526316],[0.28342105263157896],[0.6400339991500212]
DUKE OUTPATIENT PHARMACY,"[['37063000600', '37063001501', '37063001501']]",[0.04161655039692086],[0.9100312725523214],[0.14405049192500463],[0.451215088864708]
PARKER'S DRUG STORE,"[['37039930300', '37039930502']]",[0.16182027271233776],[0.815179891572203],[0.12117724432752384],[0.7372400756143668]
RITE AID - 11430,"[['37167930500', '37167931202', '37167931204']]",[0.1982393581457544],[0.883218185870292],[0.1845092365902515],[0.7417893544733862]
RITE AID - 11416,"[['37147000605', '37147001700', '37147002003', '37147000605']]",[0.16580226904376014],[0.868827660723933],[0.20089890074186387],[0.7377175419682735]
CVS - 7641,[['37155960900']],[0.1818637274549098],[0.8962925851703407],[0.2029058116232465],[0.7520215633423181]
BUTLER'S PHARMACY,"[['37163970801', '37163971001', '37163970701']]",[0.08400328137817883],[0.8426579163248564],[0.17411802958868478],[0.8132593766508188]
ELLERBE PHARMACY,"[['37153970100', '37153970200', '37153970200']]",[0.1412556053811659],[0.8911693687478441],[0.10774818401937046],[0.6829177980745494]
COMMUNITY HEALTH MART PHARMACY,"[['37145920500', '37145920602', '37145920500']]",[0.17244270542202347],[0.950363331470095],[0.13105492784427789],[0.77217125382263]
HOLLY HILL HOSPITAL,"[['37183052810', '37183052811', '37183052001']]",[0.0925984251968504],[0.8587176602924634],[0.2010000450470742],[0.7920583026835581]
HOLLY PARK PHARMACY,[['37183052701']],[0.08299566857621908],[0.6551627777001537],[0.1329240434037693],[0.8109287346769167]
CVS - 4183,"[['37089930302', '37089931402']]",[0.14916963226571767],[0.8143534994068802],[0.16054360812425328],[0.7418516769012754]
THE PLAZA PHARMACIST,[['37183052701']],[0.08299566857621908],[0.6551627777001537],[0.1329240434037693],[0.8109287346769167]
CAROLINAS MEDICAL CENTER RX,[['37119005834']],[0.10886917960088692],[0.9330376940133037],[0.06031042128603104],[0.7639841212558643]
WALGREENS - 2696,"[['37097060100', '37097060100']]",[0.10054572515296842],[0.9199603108979659],[0.19831571994715985],[0.8253299634934007]
WAL-MART SUPERCENTER - 1179,"[['37021002203', '37021002203']]",[0.14717112113849357],[0.8321763276640055],[0.13224574800416522],[0.7659287257019438]
WALGREENS - 1560,"[['37129012007', '37129012006']]",[0.13933945671291773],[0.8171780340042994],[0.08881098451650599],[0.8452323909918543]
CVS - 3837,"[['37071032505', '37071033303', '37071032505']]",[0.09974424552429667],[0.9025392765801973],[0.1181793254729915],[0.7848243035139297]
CVS - 5445,"[['37119006109', '37119005406']]",[0.09787297337498141],[0.8695522832069017],[0.10260999254287845],[0.6892373485388453]
TRINITY INFUSION INCORPORATED,[['37067003805']],[0.13403012603750383],[0.8837995696280356],[0.1675840978593272],[0.7730853391684902]
WAL-MART - 1209,[['37109070201']],[0.13980263157894737],[0.8704769736842105],[0.19152437770006173],[0.7284234752589183]
RITE AID - 11312,"[['37067004011', '37067004011']]",[0.052024088323854134],[0.8616594178655068],[0.128693039559339],[0.8144919640424952]
STOKES PHARMACY,[['37169070200']],[0.21553808948004838],[0.905683192261185],[0.14513221153846154],[0.6997153700189753]
THE COMPOUNDING PHARMACY,[['37035010900']],[0.18611793611793612],[0.847051597051597],[0.4358108108108108],[0.6350164654226125]
THOMAS DRUG STORE,"[['37195000100', '37195000100']]",[0.17457142857142857],[0.822],[0.27113133940182055],[0.6267095736122285]
MCDOWELLS PHARMACY,"[['37083931000', '37083931101', '37083931102', '37083931101']]",[0.20906567992599445],[0.8535747323906436],[0.2780494251354566],[0.5183933187512428]
ECONOMY DRUGS,"[['37089931200', '37089931200']]",[0.1861777150916784],[0.8702397743300423],[0.17818523742360132],[0.8585365853658536]
CVS - 5594,"[['37133000205', '37133001201', '37133001202', '37133001202']]",[0.15866213051738612],[0.9049617814695357],[0.10539740003291098],[0.7969553183076314]
MORRIS FAMILY PHARMACY,[['37085070500']],[0.1646897025958398],[0.8672855423757951],[0.14095928226363008],[0.7212925562608193]
TRIANGLE PHARMACY AND TRUE VALUE HARDWARE,[['37063002013']],[0.09140575751208237],[0.9663794914898087],[0.04443512890379375],[0.870051085568327]
RITE AID - 11489,"[['37119001609', '37119001923', '37119001925', '37119001925']]",[0.08449025799916582],[0.7722099743788358],[0.1941295788092113],[0.8236686390532545]
CVS - 3832,"[['37067003307', '37067003307']]",[0.12892848304875032],[0.9460529571888147],[0.05518436030685474],[0.8751463129145532]
WAL-MART SUPERCENTER - 1096,"[['37059080101', '37059080600', '37059080600']]",[0.16608996539792387],[0.882195659012268],[0.21730935364800125],[0.7455928519681236]
CVS - 7046,"[['37141920202', '37141920202']]",[0.08405863490609253],[0.9407924874026569],[0.03979199638254578],[0.8148955495004542]
WALGREENS - 10133,"[['37159050800', '37159050201']]",[0.239291660360224],[0.8975329196306947],[0.27818979869835025],[0.7297364495275982]
ELDER DRUG,[['37081013700']],[0.0891483152029716],[0.9413637569647121],[0.06606526930220218],[0.8165728077232502]
RITE AID - 11552,"[['37023020202', '37023020204', '37023020500']]",[0.20664547225925545],[0.8690390729155985],[0.16821178409559126],[0.7655161238048939]
REALO DISCOUNT DRUGS,"[['37133001301', '37133001301']]",[0.22131147540983606],[0.9079851930195664],[0.13242518981688253],[0.8532391771568928]
WOODARD DRUG STORE INCORPORATED,"[['37101040501', '37101040502', '37101040502']]",[0.2129579302098054],[0.8964017828024785],[0.07669584245076587],[0.7200228397411496]
CVS - 2326,"[['37119001607', '37119001919', '37119001607']]",[0.07178958225889634],[0.6800412583806086],[0.2634146341463415],[0.8531786074672049]
RITE AID - 11473,"[['37119002702', '37119003204', '37119003204']]",[0.08306451612903226],[0.9650806451612903],[0.08194753985942053],[0.8087949465500486]
SPINDALE DRUG COMPANY,"[['37161960600', '37161960600']]",[0.26565228236467947],[0.8179097031678723],[0.13893739087054127],[0.676530612244898]
REX PHARMACY OF RALEIGH,[['37183052504']],[0.11024643320363164],[0.9393284334918576],[0.09381755296152183],[0.7870738339259569]
RITE AID - 11341,"[['37157041601', '37157041502']]",[0.14601055238505437],[0.9147195003768709],[0.20346273792880956],[0.6550758075148319]
CVS - 7560,"[['37119005403', '37119005512', '37119005535', '37119005512']]",[0.07473227474150665],[0.8480428360413589],[0.11546439271721595],[0.7681012999259109]
WALGREENS - 7280,[['37057061000']],[0.15229166666666666],[0.8191666666666667],[0.1362098138747885],[0.7142857142857143]
WAL-MART SUPERCENTER - 1010,"[['37153970600', '37153970900', '37153970600']]",[0.15841738994448354],[0.9479239971850809],[0.3261227368916059],[0.7032951881979871]
VITA DRUG,"[['37119003106', '37119003108', '37119003109', '37119003808', '37119003808']]",[0.05406531787527468],[0.6416988709555201],[0.186309022729012],[0.8769539730785931]
GORDON FAMILY PHARMACY INCORPORATED,"[['37175960201', '37175960302', '37175960403', '37175960501', '37175960502', '37175960302']]",[0.1467879279383653],[0.8481144644615652],[0.12831961034442768],[0.7880424111525623]
CVS - 3526,"[['37119003802', '37119003811', '37119003201']]",[0.11012882040919424],[0.8556453649911594],[0.213697219361483],[0.8733357988165681]
BLUE RIDGE LONG TERM CARE PHARMACY,"[['37023021203', '37023020902']]",[0.19640245685873062],[0.94793799356537],[0.12292654028436019],[0.723342939481268]
BI-LO - 156,"[['37119005859', '37119005862', '37119005859']]",[0.06300331596399811],[0.9753671245855045],[0.03001186239620403],[0.8018659881255301]
CVS - 5577,"[['37061090706', '37061090706']]",[0.14817298022125377],[0.8478042239356353],[0.27623198122695275],[0.6120150187734669]
CVS - 4390,"[['37031970704', '37031970501']]",[0.24555511655472145],[0.8824575266693007],[0.10858931715906868],[0.7471824550715809]
HARRIS TEETER - 254,"[['37063001604', '37063001711', '37063001712', '37135010904', '37063001711']]",[0.10272457963032502],[0.8559686235240122],[0.0989010989010989],[0.8241187151712479]
SAM'S CLUB - 6402,[['37081016503']],[0.043514092632272953],[0.9449480797758365],[0.05785396406790835],[0.8927423059255857]
FAMILY CARE SPECIALTY PHARMACY,"[['37119001918', '37119001918']]",[0.0719002201027146],[0.6869650281242358],[0.15840821566110397],[0.8877516206073013]
CVS - 5540,"[['37057060201', '37057060203', '37057060203']]",[0.15643694663795166],[0.9260588657573582],[0.06255998080614203],[0.8089067348056215]
RITE AID - 11481,"[['37119004303', '37119004304', '37119006012', '37119980100', '37119004303']]",[0.14539330573293102],[0.8071012560522068],[0.1452249964734095],[0.7200042247570765]
CVS - 7515,"[['37001020302', '37001021101', '37001020302']]",[0.09308536003814974],[0.7956127801621364],[0.16879893068550697],[0.7397950886322979]
RITE AID - 11396,"[['37183053712', '37183053713', '37183053722', '37183053729', '37183053722']]",[0.14096916299559473],[0.9408998663564817],[0.06872766971020246],[0.8659720577788302]
BI-LO - 237,"[['37119001910', '37119001924', '37119001910']]",[0.06246264196054991],[0.6817095038852361],[0.16664162283996994],[0.7697841726618705]
RITE AID - 11518,"[['37125950801', '37125950801']]",[0.11593676176630928],[0.8727966563692532],[0.11194289693593315],[0.7512791358726549]
MISSION HOSPITALS,"[['37021000900', '37021000900']]",[0.20217620217620216],[0.9045279045279045],[0.3415233415233415],[0.7017276422764228]
MURPHY MEDICAL CENTER PHARMACY,"[['37039930401', '37039930501']]",[0.2031853281853282],[0.8584298584298584],[0.20519019987105094],[0.7005797101449275]
WG BILL HEFNER VETERANS AFFAIRS MEDICAL CENTER,[['37159050400']],[0.14490818030050084],[0.8774624373956594],[0.39744175422567385],[0.7115384615384616]
BI-LO - 185,"[['37025040704', '37025040900', '37025040704']]",[0.19040598775232478],[0.9154003175323202],[0.16291240045506258],[0.6979082864038616]
CVS - 3694,"[['37119001921', '37119001926', '37119002007', '37119001927']]",[0.10855628686212497],[0.8198136592871186],[0.09829899991452261],[0.826133909287257]
RITE AID - 11564,"[['37089931300', '37089931300']]",[0.1675430210325048],[0.8271988527724665],[0.2447418738049713],[0.7718446601941747]
CVS - 7315,"[['37009970701', '37009970702', '37193960901', '37009970501']]",[0.1813551177318597],[0.8835175396444017],[0.10330220467892558],[0.7425788497217068]
HARRIS TEETER - 160,"[['37119002903', '37119002903']]",[0.05844317333996518],[0.995026112907237],[0.024620741109176822],[0.8025735294117647]
CVS - 7572,"[['37151031101', '37151031401', '37151031402', '37151031401']]",[0.18678762502907653],[0.8975924633635729],[0.22316915481368285],[0.7433700902214526]
ATKINSON DRUG,"[['37141920501', '37163971002', '37163971003', '37141920501']]",[0.2024186348510673],[0.8516354192029868],[0.18362061989155945],[0.7023168103448276]
WAL-MART SUPERCENTER - 4459,"[['37127011101', '37127011101']]",[0.1095592799503414],[0.9227188081936686],[0.05493482309124767],[0.8628350639942043]
WALGREENS - 7801,"[['37101041104', '37101041004']]",[0.09080445069702008],[0.819030566568615],[0.14816232771822357],[0.7785505124450952]
RANDOLPH MEDICAL PHARMACY,[['37119002202']],[0.0751188589540412],[0.9670364500792393],[0.05388272583201268],[0.8216704288939052]
ELLIOTTS PHARMACY,"[['37085071002', '37085071003', '37183053106', '37183053112', '37183053113', '37183053112']]",[0.13977797001153403],[0.9147923875432526],[0.10725211445024294],[0.773358477627293]
FOOD LION - 1654,"[['37183054116', '37183054121', '37183054022']]",[0.07590871490438421],[0.8486691645175417],[0.09935866290933826],[0.8509325480297294]
WALGREENS - 1319,[['37129010700']],[0.24070125562662875],[0.8858090499881545],[0.34579219558063],[0.6924322136786726]
HOMECHOICE PARTNERS,[['37063002036']],[0.05343796711509716],[0.9170403587443946],[0.13266068759342303],[0.9096153846153846]
RITE AID - 11490,"[['37119001917', '37119005627', '37119001917']]",[0.07875997544505832],[0.7953959484346225],[0.2049165177746288],[0.7635055205047319]
RITE AID - 11488,"[['37119005815', '37119003018']]",[0.06836094579379122],[0.9264918771111469],[0.06047933086697764],[0.7966060009837679]
NORTH CAROLINA SPECIALTY HOSPITAL,[['37063000102']],[0.12148028962188254],[0.7951193349423438],[0.1995172968624296],[0.8069724770642202]
ASHEBORO DRUG COMPANY INCORPORATED,[['37151030201']],[0.20253968253968255],[0.8476190476190476],[0.2092063492063492],[0.7787703625853915]
CAROLINAS MEDICAL CENTER - STEELE CREEK,"[['37119005925', '37119005926', '37119005918']]",[0.06314849171992029],[0.961038961038961],[0.013742870885728028],[0.8838316722037652]
D-REX DRUGS OF JONESVILLE,"[['37197050300', '37171930901']]",[0.196360558611934],[0.8616165890816758],[0.15928548779198817],[0.8036062378167641]
THE MEDICINE SHOPPE PHARMACY,"[['37025041902', '37025042402']]",[0.12587121606158327],[0.8310621034016437],[0.1528343250861259],[0.797360248447205]
WALGREENS - 7767,"[['37025041202', '37025042503']]",[0.07599786172487527],[0.9393264433357092],[0.06459372772630079],[0.8701908038786362]
DENTON DRUG STORE,"[['37057061902', '37057062002']]",[0.21978268175198834],[0.8728576229416377],[0.20472888484710697],[0.6983705278072972]
INGLES MARKETS - 120,"[['37023020301', '37023020303', '37023020304', '37023021400', '37023021400']]",[0.19544628336362765],[0.881469434612073],[0.1459801524521789],[0.7344488341467194]
WAL-MART - 1064,[['37027030100']],[0.1697559185171591],[0.7072857405028445],[0.2329295154185022],[0.6639826571694023]
RITE AID - 11426,"[['37195000802', '37195000801']]",[0.20450723175243862],[0.7832156071308443],[0.46494652860295366],[0.6247910863509749]
WAL-MART SUPERCENTER - 1268,"[['37047930900', '37047930900']]",[0.16059225512528474],[0.8724373576309795],[0.25028519279032624],[0.599778679454076]
CVS - 5563,[['37019020201']],[0.12867898699520877],[0.8819301848049281],[0.1951761888470749],[0.7679068590230321]
RITE AID - 11522,"[['37129010503', '37129010600', '37129010503']]",[0.10894596988485385],[0.8151334936100215],[0.11501961280526382],[0.8826351725410593]
PRESCRIPTION SHOPPE,[['37125951102']],[0.11048265460030166],[0.8946078431372549],[0.08844896476571014],[0.8419333768778576]
RITE AID - 11546,"[['37171930901', '37193960101', '37193960102', '37193960200', '37171930901']]",[0.1936460773670076],[0.8244671733043826],[0.16284783726644192],[0.7946199451375985]
CVS - 7062,"[['37081015302', '37081017200', '37081017200']]",[0.0924103340588625],[0.9364531087347402],[0.12553131198639841],[0.781398506449423]
TRYON PHARMACY,"[['37149920303', '37149920304', '37149920304']]",[0.24955461148417157],[0.9236672605180211],[0.11630777671101358],[0.7342616768204235]
FREEDOM HILL COMMUNITY HEALTH CENTER PHARMACY,"[['37065020800', '37065020900', '37065020900']]",[0.17592331547786863],[0.9158443755286158],[0.24062588102621935],[0.6445698166431594]
CVS - 8260,"[['37119006105', '37119006108', '37119006223', '37119006105']]",[0.08646854252292127],[0.902782168827063],[0.06773759594840548],[0.7833008819150155]
CVS - 2877,"[['37179020203', '37179020309', '37179020309']]",[0.10534864833507368],[0.9466295393897204],[0.03663045990293506],[0.8313028764805415]
RITE AID - 11507,[['37051002100']],[0.16372939169982945],[0.8720864127345083],[0.14732724902216426],[0.8123768230193141]
WALKER'S DRUG STORE,"[['37119005846', '37119005846']]",[0.03056532323505545],[0.9859345415201515],[0.047335677576413306],[0.7461506450270495]
CVS - 7559,"[['37001020501', '37001021500', '37001020502']]",[0.10004719207173195],[0.8930313040742489],[0.1553077889447236],[0.7886011616650532]
CVS - 7039,"[['37183053005', '37183053006', '37183053405']]",[0.06669884946496098],[0.9443237589508408],[0.030136543588914922],[0.8088810394853034]
DRUMS PHARMACY,"[['37065020700', '37083930901', '37083930902', '37083930902']]",[0.17248041214983365],[0.8429752066115702],[0.3243681140635126],[0.6171518765345493]
3HC,[['37191001900']],[0.1329394387001477],[0.9153126538650911],[0.3249630723781389],[0.7287384119306731]
BIRMINGHAM DRUG COMPANY INCORPORATED,"[['37153971000', '37153971100', '37153970900']]",[0.15651047988994093],[0.884761673545359],[0.26034063260340634],[0.7103688933200398]
CVS - 3864,"[['37051001500', '37051001603', '37051001604', '37051003002', '37051001603']]",[0.1891219512195122],[0.8965365853658537],[0.186300447351965],[0.6980902381495854]
PROFESSIONAL CARE HOME OXYGEN AND MEDICAL EQUIPMENT,[['37051001800']],[0.22333044232437121],[0.8018213356461406],[0.24131944444444445],[0.6963613550815558]
WALGREENS - 7647,"[['37067002605', '37067003908', '37067002605']]",[0.0847209271346743],[0.98001864926069],[0.05557043385109802],[0.7952109464082098]
WALGREENS - 7342,"[['37119003020', '37119003013']]",[0.09704321455648218],[0.9758475035199826],[0.01321347341059244],[0.8164241960183767]
CAROLINAS MEDICAL CENTER - NORTH PARK PHARMACY,"[['37119005306', '37119005308', '37119005306']]",[0.06080892608089261],[0.6754532775453278],[0.2937693825768255],[0.726614238410596]
RITE AID - 11438,"[['37119006208', '37119006208']]",[0.04729011689691817],[0.8929330499468651],[0.04649309245483528],[0.8111652304233795]
HARRIS TEETER - 63,"[['37127010504', '37127010506']]",[0.1238403451995685],[0.9235167206040993],[0.11166253101736973],[0.7397489539748954]
HARDIN'S DRUG - 2,"[['37161961001', '37161961102', '37161961103', '37161961104', '37161960900']]",[0.20282504363001747],[0.8712369109947644],[0.1640530759951749],[0.6619537275064268]
COLUMBIA PHARMACY,"[['37095920101', '37177960100', '37177960100']]",[0.1820025348542459],[0.8498098859315589],[0.20564928425357873],[0.6220243192327454]
FAMILY PHARMACY,"[['37153970400', '37153970400']]",[0.18357022404239942],[0.9009877138039026],[0.09467598169115876],[0.8081237911025145]
LAUREL MEDICAL CENTER PHARMACY,"[['37115010100', '37115010100']]",[0.15170278637770898],[0.8804179566563467],[0.15944272445820434],[0.6310810810810811]
WAL-MART SUPERCENTER - 1613,"[['37081014200', '37081014501', '37081014503', '37151031601', '37151031602', '37151031602']]",[0.18281782522024306],[0.8105588065076201],[0.2234111125435091],[0.7507036590269401]
MLK PHARMACY,"[['37067000500', '37067000600', '37067001602', '37067001700', '37067001800', '37067000700']]",[0.167901878914405],[0.8332985386221294],[0.3149113660062565],[0.6630687479242776]
CVS - 3988,"[['37081014408', '37081014408']]",[0.18834737999267132],[0.8171491388787101],[0.2674972517405643],[0.7332556785090274]
MEDICAL ARTS PHARMACY,"[['37181960300', '37181960400']]",[0.1894540363975735],[0.9333877741483901],[0.08306112925804947],[0.741514360313316]
WAKE FOREST UNIVERSITY STUDENT HEALTH SERVICE PHARMACY,"[['37067001300', '37067002704', '37067002705', '37067001300']]",[0.10052910052910052],[0.9098467669896241],[0.2908742820676452],[0.5885458976441917]
WAL-MART SUPERCENTER - 1133,"[['37167931002', '37167931203', '37167931203']]",[0.2645659299989426],[0.8343026329702865],[0.3607909485037538],[0.7172727272727273]
WAL-MART SUPERCENTER - 2749,"[['37023020203', '37111970101', '37111970102', '37121950400']]",[0.16624649859943977],[0.8412464985994398],[0.08957106812447435],[0.7400803023145961]
PIEDMONT DRUG AND HOME DELIVERY,"[['37081016409', '37081016410', '37081016505', '37081016506', '37081016506']]",[0.12063309097357687],[0.9453803865933676],[0.059045672649724545],[0.8384152391031153]
MARTIN'S DRUG STORE,"[['37021002401', '37087920300', '37087920400']]",[0.14999441153459261],[0.8900190007823852],[0.1504843433205677],[0.7686346863468635]
WALGREENS - 9462,[['37163970701']],[0.06757464641173389],[0.8255631220534311],[0.16308337703198741],[0.7936371453138436]
CAREPLUS,"[['37119000301', '37119000302', '37119002600', '37119980300', '37119000301']]",[0.08201717927403714],[0.9387642006095871],[0.09254641174840676],[0.8688688688688688]
WAL-MART SUPERCENTER - 1664,[['37195000501']],[0.1305094447624499],[0.9579278763594734],[0.05037206639954207],[0.7958989031950405]
CARLIE C'S IGA,"[['37051003307', '37051003310', '37051003311', '37051003316', '37051003318', '37051003310']]",[0.13520723212962504],[0.8754137232623623],[0.167013198336648],[0.7666826363698583]
CVS - 4098,"[['37179020316', '37179020313']]",[0.09890859481582538],[0.9170532060027285],[0.06335028170949566],[0.8387028848178564]
RITE AID - 11532,"[['37031971103', '37031971103']]",[0.22794552989934871],[0.9105979869745412],[0.09258160237388724],[0.7929515418502202]
SAM'S CLUB - 6668,[['37063002037']],[0.03293807641633729],[0.9375117635987201],[0.019386410690758516],[0.9449845338046841]
RAPER DISCOUNT DRUGS,[['37191001900']],[0.1329394387001477],[0.9153126538650911],[0.3249630723781389],[0.7287384119306731]
RITE AID - 11461,"[['37161960102', '37161960502', '37161960503', '37161960503']]",[0.26991766941101963],[0.8953768207726409],[0.19564663951120162],[0.6435473480781619]
RITE AID - 11556,"[['37021002305', '37021002402', '37021002503', '37021002504', '37021002505', '37021002505']]",[0.14211741219040488],[0.8493355792625865],[0.08071019974367791],[0.783975316974401]
HARRIS TEETER - 249,"[['37179021004', '37179021020', '37179021020']]",[0.04791978644442998],[0.902402500162771],[0.022271424850221412],[0.8377373656184065]
WAL-MART - 2137,"[['37063002029', '37135011206', '37063002029']]",[0.1156183281326983],[0.9761044506487108],[0.0816225981277714],[0.8478634577603144]
FOSTER DRUG,"[['37059080102', '37059080500', '37059080701', '37059080702', '37059080600']]",[0.20056047035551403],[0.8689488433430408],[0.1642397933952415],[0.7829837618403248]
WAL-MART SUPERCENTER - 1663,"[['37087920701', '37087920800', '37087921202', '37087921201']]",[0.1709874989512543],[0.8725564225186677],[0.14044802416310093],[0.7421060583169663]
PHARMERICA,"[['37081012618', '37081012618']]",[0.15230613279270147],[0.8765838824125697],[0.3295247987535705],[0.8618490967056323]
HAYES-BARTON PHARMACY,"[['37183051600', '37183051700', '37183051600']]",[0.0681376215407629],[0.9827225130890053],[0.029768137621540763],[0.7839399901623217]
RITE AID - 11391,[['37183050400']],[0.04940197607904316],[0.9490379615184608],[0.08967223252937538],[0.782967032967033]
REMEDY SHOPPE HEALTH MART PHARMACY,"[['37019020508', '37019020518']]",[0.18261021083812512],[0.9653249695068827],[0.05854678515420805],[0.6306748466257669]
WALGREENS - 9562,[['37045950900']],[0.22292051756007394],[0.933456561922366],[0.2536204975863349],[0.6065464261857048]
CHAIR CITY PHARMACY,"[['37057060900', '37057061000']]",[0.1241115943566352],[0.8229553410416888],[0.18686599038974908],[0.7619509043927648]
INGLES MARKETS - 27,[['37161960800']],[0.2551557700745941],[0.8211935059236507],[0.43387061161404283],[0.6438026474127557]
